,row_id,date,country,store,product,num_sold
0,0,2015-01-01,Finland,KaggleMart,Kaggle Mug,329
1,1,2015-01-01,Finland,KaggleMart,Kaggle Hat,520
2,2,2015-01-01,Finland,KaggleMart,Kaggle Sticker,146
3,3,2015-01-01,Finland,KaggleRama,Kaggle Mug,572
4,4,2015-01-01,Finland,KaggleRama,Kaggle Hat,911
5,5,2015-01-01,Finland,KaggleRama,Kaggle Sticker,283
6,6,2015-01-01,Norway,KaggleMart,Kaggle Mug,526
7,7,2015-01-01,Norway,KaggleMart,Kaggle Hat,906
8,8,2015-01-01,Norway,KaggleMart,Kaggle Sticker,250
9,9,2015-01-01,Norway,KaggleRama,Kaggle Mug,1005
10,10,2015-01-01,Norway,KaggleRama,Kaggle Hat,1461
11,11,2015-01-01,Norway,KaggleRama,Kaggle Sticker,395
12,12,2015-01-01,Sweden,KaggleMart,Kaggle Mug,440
13,13,2015-01-01,Sweden,KaggleMart,Kaggle Hat,624
14,14,2015-01-01,Sweden,KaggleMart,Kaggle Sticker,175
15,15,2015-01-01,Sweden,KaggleRama,Kaggle Mug,706
16,16,2015-01-01,Sweden,KaggleRama,Kaggle Hat,1195
17,17,2015-01-01,Sweden,KaggleRama,Kaggle Sticker,324
18,18,2015-01-02,Finland,KaggleMart,Kaggle Mug,318
19,19,2015-01-02,Finland,KaggleMart,Kaggle Hat,493
20,20,2015-01-02,Finland,KaggleMart,Kaggle Sticker,127
21,21,2015-01-02,Finland,KaggleRama,Kaggle Mug,544
22,22,2015-01-02,Finland,KaggleRama,Kaggle Hat,794
23,23,2015-01-02,Finland,KaggleRama,Kaggle Sticker,249
24,24,2015-01-02,Norway,KaggleMart,Kaggle Mug,538
25,25,2015-01-02,Norway,KaggleMart,Kaggle Hat,845
26,26,2015-01-02,Norway,KaggleMart,Kaggle Sticker,237
27,27,2015-01-02,Norway,KaggleRama,Kaggle Mug,949
28,28,2015-01-02,Norway,KaggleRama,Kaggle Hat,1446
29,29,2015-01-02,Norway,KaggleRama,Kaggle Sticker,415
30,30,2015-01-02,Sweden,KaggleMart,Kaggle Mug,384
31,31,2015-01-02,Sweden,KaggleMart,Kaggle Hat,572
32,32,2015-01-02,Sweden,KaggleMart,Kaggle Sticker,155
33,33,2015-01-02,Sweden,KaggleRama,Kaggle Mug,653
34,34,2015-01-02,Sweden,KaggleRama,Kaggle Hat,986
35,35,2015-01-02,Sweden,KaggleRama,Kaggle Sticker,293
36,36,2015-01-03,Finland,KaggleMart,Kaggle Mug,360
37,37,2015-01-03,Finland,KaggleMart,Kaggle Hat,535
38,38,2015-01-03,Finland,KaggleMart,Kaggle Sticker,141
39,39,2015-01-03,Finland,KaggleRama,Kaggle Mug,579
40,40,2015-01-03,Finland,KaggleRama,Kaggle Hat,843
41,41,2015-01-03,Finland,KaggleRama,Kaggle Sticker,265
42,42,2015-01-03,Norway,KaggleMart,Kaggle Mug,614
43,43,2015-01-03,Norway,KaggleMart,Kaggle Hat,930
44,44,2015-01-03,Norway,KaggleMart,Kaggle Sticker,254
45,45,2015-01-03,Norway,KaggleRama,Kaggle Mug,1029
46,46,2015-01-03,Norway,KaggleRama,Kaggle Hat,1631
47,47,2015-01-03,Norway,KaggleRama,Kaggle Sticker,451
48,48,2015-01-03,Sweden,KaggleMart,Kaggle Mug,420
49,49,2015-01-03,Sweden,KaggleMart,Kaggle Hat,630
50,50,2015-01-03,Sweden,KaggleMart,Kaggle Sticker,173
51,51,2015-01-03,Sweden,KaggleRama,Kaggle Mug,734
52,52,2015-01-03,Sweden,KaggleRama,Kaggle Hat,1167
53,53,2015-01-03,Sweden,KaggleRama,Kaggle Sticker,319
54,54,2015-01-04,Finland,KaggleMart,Kaggle Mug,332
55,55,2015-01-04,Finland,KaggleMart,Kaggle Hat,544
56,56,2015-01-04,Finland,KaggleMart,Kaggle Sticker,125
57,57,2015-01-04,Finland,KaggleRama,Kaggle Mug,582
58,58,2015-01-04,Finland,KaggleRama,Kaggle Hat,873
59,59,2015-01-04,Finland,KaggleRama,Kaggle Sticker,245
60,60,2015-01-04,Norway,KaggleMart,Kaggle Mug,589
61,61,2015-01-04,Norway,KaggleMart,Kaggle Hat,889
62,62,2015-01-04,Norway,KaggleMart,Kaggle Sticker,255
63,63,2015-01-04,Norway,KaggleRama,Kaggle Mug,957
64,64,2015-01-04,Norway,KaggleRama,Kaggle Hat,1540
65,65,2015-01-04,Norway,KaggleRama,Kaggle Sticker,455
66,66,2015-01-04,Sweden,KaggleMart,Kaggle Mug,406
67,67,2015-01-04,Sweden,KaggleMart,Kaggle Hat,697
68,68,2015-01-04,Sweden,KaggleMart,Kaggle Sticker,169
69,69,2015-01-04,Sweden,KaggleRama,Kaggle Mug,657
70,70,2015-01-04,Sweden,KaggleRama,Kaggle Hat,1112
71,71,2015-01-04,Sweden,KaggleRama,Kaggle Sticker,300
72,72,2015-01-05,Finland,KaggleMart,Kaggle Mug,243
73,73,2015-01-05,Finland,KaggleMart,Kaggle Hat,378
74,74,2015-01-05,Finland,KaggleMart,Kaggle Sticker,102
75,75,2015-01-05,Finland,KaggleRama,Kaggle Mug,423
